"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X2","Región Metropolitana, Las Condes","Calzado",13000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/calzado/zapatillas_sybilla_mujer_talla_39__73768611.htm?ca=15_s&first=1&oa=73768611&xsp=0"
"1","Región Metropolitana, Recoleta","Ofertas de empleo",NA,NA,"2019","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/desabollador_con_experiencia_y_herramientas_73768606.htm?ca=15_s&oa=73768606&xsp=1"
"X21","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/puerta_trasera_izquierda_chevrolet_dmax_2007_73768604.htm?ca=15_s&oa=73768604&xsp=2"
"X22","Región Metropolitana, Vitacura","Muebles",555000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/muebles/sofa_cuero_rosen_73768603.htm?ca=15_s&oa=73768603&xsp=3"
"X23","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/puerta_delantera_derecha_chevrolet_dmax_73768600.htm?ca=15_s&oa=73768600&xsp=4"
"X24","Región Metropolitana, Las Condes","Celulares, teléfonos y accesorios",110000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/celulares/iphone_6s_32g_73768599.htm?ca=15_s&oa=73768599&xsp=5"
"X25","Región Metropolitana, Macul","Muebles",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/muebles/comedor_moderno_73768593.htm?ca=15_s&oa=73768593&xsp=6"
"X26","Región Metropolitana, Santiago","Accesorios y piezas para vehículos",9e+05,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/caja_de_cambio_jeep_wrangler_2_8_ao_2018_73768591.htm?ca=15_s&oa=73768591&xsp=7"
"X27","Región Metropolitana, Maipú","Accesorios y piezas para vehículos",8990,"Vendo","2017","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/compresor_de_aire_portatil___air_dragon_73768590.htm?ca=15_s&oa=73768590&xsp=8"
"X28","Región Metropolitana, Macul","Vestuario futura mamá y niños",2500,"Vendo","2017","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/vestido_18_meses_73768586.htm?ca=15_s&oa=73768586&xsp=9"
"X29","Región Metropolitana, Paine","Negocios, maquinaria y construcción",1e+05,"Vendo","2013","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/cilindro_oxigeno_73768584.htm?ca=15_s&oa=73768584&xsp=10"
"X210","Región Metropolitana, Puente Alto","Muebles",85000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/muebles/futon___sofa_cama_73768583.htm?ca=15_s&oa=73768583&xsp=11"
"X211","Región Metropolitana, San Ramón","Juguetes",7000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/juguetes/peluche_del_perro_chocolo_73768582.htm?ca=15_s&oa=73768582&xsp=12"
"X212","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/pantalon_zara_73768581.htm?ca=15_s&oa=73768581&xsp=13"
"11","Región Metropolitana, Santiago","Arriendo - Pieza",NA,NA,"2020","https://www.yapo.cl/region_metropolitana/arrendar/pieza_amplio_espacio_stgo_centro_73768579.htm?ca=15_s&oa=73768579&xsp=14"
"X213","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/capot_chevrolet_dmax_2007_73768578.htm?ca=15_s&oa=73768578&xsp=15"
"X214","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/jeans_zara_73768574.htm?ca=15_s&oa=73768574&xsp=16"
"X215","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_chevrolet_dmax_2007_73768572.htm?ca=15_s&oa=73768572&xsp=17"
"X216","Región Metropolitana, Puente Alto","Audio, TV, video y fotografía",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/television_camaras/controlador_midi_novation_launchkey_25_mk2_73768571.htm?ca=15_s&oa=73768571&xsp=18"
"X217","Región Metropolitana, La Cisterna","Coches y artículos infantiles",NA,"Vendo","2014","https://www.yapo.cl/region_metropolitana/coches-articulos-infantiles/cositas_para_bebe_73768570.htm?ca=15_s&oa=73768570&xsp=19"
"X218","Región Metropolitana, La Reina","Electrodomésticos",NA,"Vendo","2018","https://www.yapo.cl/region_metropolitana/electrodomesticos/lavadora_fensa_73768568.htm?ca=15_s&oa=73768568&xsp=20"
"X219","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",NA,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/frontal_chevrolet_dmax_2012_73768565.htm?ca=15_s&oa=73768565&xsp=21"
"X220","Región Metropolitana, San Ramón","Juguetes",15000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/juguetes/peluche_de_stitch_73768562.htm?ca=15_s&oa=73768562&xsp=22"
"X221","Región Metropolitana, Maipú","Otros artículos del hogar",30000,"Vendo","2020","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/lavamanos_con_pedestal_y_llave_73768561.htm?ca=15_s&oa=73768561&xsp=23"
"X222","Región Metropolitana, Recoleta","Audio, TV, video y fotografía",24990,"Vendo","2019","https://www.yapo.cl/region_metropolitana/television_camaras/audifono_jbl_t450_azul___joigo_73768557.htm?ca=15_s&oa=73768557&xsp=24"
"X223","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/poleron_zara_73768556.htm?ca=15_s&oa=73768556&xsp=25"
"12","Región Metropolitana, Independencia","Arriendo - Departamento",NA,NA,"2015","https://www.yapo.cl/region_metropolitana/arrendar/dpto_en_independencia_73768553.htm?ca=15_s&oa=73768553&xsp=26"
"X224","Región Metropolitana, Pedro Aguirre Cerda","Consolas, videojuegos y accesorios",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/busco_ps3_73768548.htm?ca=15_s&oa=73768548&xsp=27"
"X225","Región Metropolitana, Estación Central","Calzado",NA,"Vendo","2016","https://www.yapo.cl/region_metropolitana/calzado/botas__pikolinos__73768546.htm?ca=15_s&oa=73768546&xsp=28"
"X226","Región Metropolitana, Santiago","Servicios",15000,"Servicios domésticos y alimenticios",NA,"https://www.yapo.cl/region_metropolitana/servicios/lavado_de_alfombras__73768545.htm?ca=15_s&oa=73768545&xsp=29"
"X227","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/jeans_rajado_73768543.htm?ca=15_s&oa=73768543&xsp=30"
"X228","Región Metropolitana, Colina","Accesorios y piezas para vehículos",8500,"Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/valvula_ocv_control_de_aceite_kia_morning_73768540.htm?ca=15_s&oa=73768540&xsp=31"
"X229","Región Metropolitana, Macul","Vestuario futura mamá y niños",2500,"Vendo","2017","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/buzo_2_anos_73768539.htm?ca=15_s&oa=73768539&xsp=32"
"X230","Región Metropolitana, Quilicura","Consolas, videojuegos y accesorios",220000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/busco_un_play_4_73768538.htm?ca=15_s&oa=73768538&xsp=33"
"X231","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/tapabarros_chevrolet_dmax_2012_73768536.htm?ca=15_s&oa=73768536&xsp=34"
"X232","Región Metropolitana, Colina","Accesorios y piezas para vehículos",9800,"Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/valvula_iac_kia_morning_73768535.htm?ca=15_s&oa=73768535&xsp=35"
